"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","test","log10_padj","category"
"PGA3",4.30372452516631e-46,-5.05017647195246,0.012,0.369,3.63234349924037e-42,"MAST",41.4398130883529,"Down"
"LIPF",1.65537556085412e-18,-3.64732838168153,0.03,0.273,1.39713697336088e-14,"MAST",13.8547610141731,"Down"
"CCL4L2",2.08489082138993e-08,-5.05017647195246,0,0.064,0.00017596478532531,"MAST",3.75457423598753,"Down"
"RGCC",1.76041100179588e-07,-3.7282483770651,0.003,0.064,0.00148578688551572,"MAST",2.82804347932511,"Down"
"FN3K",2.51724372125158e-07,-4.21367520423534,0,0.052,0.00212455370073633,"MAST",2.67273228710273,"Down"
"KIF9",7.08512304611692e-07,-3.86575190081503,0.003,0.072,0.00597984385092268,"MAST",2.22331015640758,"Down"
"TMEM91",1.28016084586164e-06,-4.21367520423534,0,0.048,0.0108045575390722,"MAST",1.96639301335028,"Down"
"WASHC4",1.68809302207194e-06,-4.10676000031883,0,0.048,0.0142475051062871,"MAST",1.84626117870353,"Down"
"AK6",3.67973526357585e-06,-4.21367520423534,0,0.044,0.0310569656245802,"MAST",1.50784097864211,"Down"
"TTF1",5.37316354918647e-06,-4.10676000031883,0,0.04,0.0453495003551338,"MAST",1.34342749348159,"Down"
