"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log10_padj","category"
"MKI67",1.81333124573027e-76,10.4174409043151,1,0,2.33158131575998e-72,71.6323494335786,"Up"
"CENPF",2.75907016797407e-29,6.57613865033415,0.561,0.005,3.54761242198106e-25,24.4500638330876,"Up"
"TPX2",4.42239435834799e-21,7.99117614961299,0.366,0.001,5.68631466596385e-17,16.2451691112459,"Up"
"ASPM",1.90437381113756e-16,7.69161586775409,0.293,0.001,2.44864384636067e-12,11.611074378129,"Up"
"TROAP",2.68789620165161e-11,7.99117614961299,0.171,0,3.45609693608364e-07,6.46141408499644,"Up"
"SGO2",2.5330479244517e-08,7.57613865033415,0.122,0,0.000325699302126,3.48718317199439,"Up"
"KIF23",6.29982735337311e-08,6.7985310716706,0.146,0.001,0.000810031801096715,3.09149793078837,"Up"
"KIF2C",7.17315836137852e-07,6.57613865033415,0.122,0.001,0.00922324702106051,2.03511615974053,"Up"
"BUB1",1.17450402083572e-06,7.31310424450036,0.098,0,0.0151017726999057,1.82097207068034,"Up"
"KIF15",1.80521311576828e-06,6.57613865033415,0.122,0.001,0.0232114302425485,1.63429809835023,"Up"
